Código,Nome do Exercício,grupo_muscular,musculo_foco,url
231,Voador / Peck Deck,Peito,Peitoral (Abertura),https://rcstorestaff.com.br/exercicios_html/231
232,Supino Vertical na Máquina,Peito,Peitoral Médio,https://rcstorestaff.com.br/exercicios_html/232
233,Stiff Unilateral com Halter,Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/233
234,Stiff Unilateral com Barra,Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/234
235,Pull Down,Costas,Latíssimo do Dorso,https://rcstorestaff.com.br/exercicios_html/235
236,Abdominal Prancha,Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/236
237,Abdominal Elevação Perna no Solo,Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/237
238,Manguito Rotador no Cross Over,Ombro,Deltoide,https://rcstorestaff.com.br/exercicios_html/238
239,Elevação de Panturrilha com Barra,Perna,Panturrilha,https://rcstorestaff.com.br/exercicios_html/239
240,Flexão de Joelho na Bola Suíça,Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/240
241,Agachamento com Halter,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/241
242,Elevação Pélvica,Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/242
243,Desenvolvimento Arnold,Ombro,Deltoide (Anterior e Lateral),https://rcstorestaff.com.br/exercicios_html/243
244,Elevação de Panturrilha em Pé,Perna,Panturrilha,https://rcstorestaff.com.br/exercicios_html/244
245,Extensão dos Pés com Barra,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/245
246,Agachamento Sumô com Kettlebell,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/246
247,Extensão dos Pés com Halter,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/247
248,"Abdominal com ""Rolinho""",Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/248
249,Rosca Concentrada com Barra,Bíceps,Bíceps,https://rcstorestaff.com.br/exercicios_html/249
250,Rosca Corda no Cross Over,Bíceps,Bíceps,https://rcstorestaff.com.br/exercicios_html/250
251,Abdominal Infra com Elevação de Pernas,Abdome,Infra-abdome,https://rcstorestaff.com.br/exercicios_html/251
252,Agachamento Livre,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/252
253,Coice Simultâneo,Tríceps,Tríceps,https://rcstorestaff.com.br/exercicios_html/253
254,Cruzamento Oblíquo V,Abdome,Oblíquos,https://rcstorestaff.com.br/exercicios_html/254
255,Escalador,Corpo,Corpo Inteiro,https://rcstorestaff.com.br/exercicios_html/255
256,Wood Chop,Corpo,Corpo Inteiro,https://rcstorestaff.com.br/exercicios_html/256
257,Burpee,Corpo,Corpo Inteiro,https://rcstorestaff.com.br/exercicios_html/257
258,Lunge Punch com Halter,Corpo,Corpo Inteiro,https://rcstorestaff.com.br/exercicios_html/258
259,Polichinelo,Corpo,Corpo Inteiro,https://rcstorestaff.com.br/exercicios_html/259
260,Prancha de Braços Jacks,Corpo,Corpo Inteiro,https://rcstorestaff.com.br/exercicios_html/260
261,Supino com Halteres na Bola Suíça,Peito,Peitoral Médio,https://rcstorestaff.com.br/exercicios_html/261
262,Toe Touch Unilateral no Solo,Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/262
263,Esteira,Corpo,Corpo Inteiro,https://rcstorestaff.com.br/exercicios_html/263
264,Elíptico,Corpo,Corpo Inteiro,https://rcstorestaff.com.br/exercicios_html/264
